City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,92,100,0.45,NZ,1738939659
1,sturgis,41.7992,-85.4192,-4.4,71,20,4.12,US,1738939660
2,edinburgh of the seven seas,-37.0676,-12.3116,15.18,67,34,6.86,SH,1738939661
3,anadyr,64.75,177.4833,-23.72,76,40,2.0,RU,1738939662
4,iskateley,67.6803,53.1512,-0.76,93,100,10.7,RU,1738939663
5,blackmans bay,-43.0167,147.3167,14.07,85,100,0.45,AU,1738939665
6,mount gambier,-37.8333,140.7667,15.34,76,100,3.53,AU,1738939666
7,el hadjira,32.6134,5.5126,15.29,47,10,3.02,DZ,1738939667
8,port mathurin,-19.6833,63.4167,28.04,77,30,5.42,MU,1738939668
9,aykhal,66.0,111.5,-28.97,100,99,2.58,RU,1738939669
10,port-aux-francais,-49.35,70.2167,6.31,73,9,9.4,TF,1738939670
11,broome,42.2506,-75.833,-3.44,54,40,9.26,US,1738939671
12,geraldton,-28.7667,114.6,23.23,88,0,3.09,AU,1738939525
13,nikolayevsk-on-amure,53.1406,140.73,-12.59,94,100,3.1,RU,1738939674
14,fort st. john,56.2499,-120.8529,-22.06,84,40,1.54,CA,1738939675
15,papatowai,-46.5619,169.4708,12.98,89,4,2.62,NZ,1738939676
16,bikenibeu village,1.3673,173.1241,26.98,78,20,6.17,KI,1738939436
17,adamstown,-25.066,-130.1015,24.53,78,41,3.0,PN,1738939678
18,i-n-salah,27.1935,2.4607,19.76,22,0,5.59,DZ,1738939679
19,remire-montjoly,4.9167,-52.2667,27.02,83,100,4.63,GF,1738939680
20,port elizabeth,-33.918,25.5701,27.95,75,5,2.24,ZA,1738939682
21,qaqortoq,60.7167,-46.0333,-9.17,80,96,3.24,GL,1738939683
22,albany,42.6001,-73.9662,-1.87,65,53,3.58,US,1738939553
23,phalaborwa,-23.943,31.1411,33.89,19,0,7.31,ZA,1738939686
24,hulan ergi,47.2042,123.6333,-11.47,85,99,5.82,CN,1738939687
25,usinsk,65.9939,57.5281,-4.2,89,100,9.49,RU,1738939688
26,puerto ayora,-0.7393,-90.3518,24.75,97,31,0.89,EC,1738939689
27,grytviken,-54.2811,-36.5092,4.13,98,100,1.85,GS,1738939690
28,newman,37.3138,-121.0208,9.47,84,98,0.45,US,1738939691
29,thompson,55.7435,-97.8558,-22.91,84,20,4.12,CA,1738939692
30,avarua,-21.2078,-159.775,27.03,89,75,5.14,CK,1738939694
31,olonkinbyen,70.9221,-8.7187,-1.29,76,100,13.98,SJ,1738939695
32,tazovsky,67.4667,78.7,-13.52,91,68,6.06,RU,1738939696
33,whitehorse,60.7161,-135.0538,-22.88,76,40,0.0,CA,1738939697
34,hasaki,35.7333,140.8333,6.89,51,36,8.62,JP,1738939698
35,glace bay,46.1969,-59.957,3.98,94,75,6.17,CA,1738939419
36,kasulu,-4.5767,30.1025,23.25,79,68,0.77,TZ,1738939700
37,acapulco de juarez,16.8634,-99.8901,23.9,83,40,2.57,MX,1738939703
38,fale old settlement,-9.3852,-171.2468,27.81,78,76,7.17,TK,1738939704
39,popondetta,-8.7537,148.2534,24.44,91,100,1.27,PG,1738939705
40,ilulissat,69.2167,-51.1,-20.99,59,20,2.57,GL,1738939706
41,al ghayzah,16.2079,52.176,21.75,75,0,4.09,YE,1738939707
42,constantia,44.1833,28.65,-1.62,63,100,7.04,RO,1738939708
43,dudinka,69.4058,86.1778,-11.25,93,100,10.06,RU,1738939709
44,kodiak,57.79,-152.4072,-6.27,86,0,3.09,US,1738939710
45,beaufort,5.3473,115.7455,23.35,97,95,0.53,MY,1738939711
46,egyek,47.6333,20.9,4.99,66,100,2.41,HU,1738939713
47,bredasdorp,-34.5322,20.0403,31.39,34,0,5.27,ZA,1738939611
48,veraval,20.9,70.3667,23.18,60,0,1.96,IN,1738939715
49,dubbo,-32.25,148.6167,24.07,46,20,4.12,AU,1738939716
50,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,54,75,8.0,RU,1738939717
51,yellowknife,62.456,-114.3525,-26.71,76,0,3.6,CA,1738939718
52,monrovia,6.3005,-10.7969,29.29,69,13,6.18,LR,1738939582
53,ore,6.7457,4.8775,36.05,35,99,3.95,NG,1738939721
54,cold lake,54.4502,-110.2017,-21.03,84,100,1.03,CA,1738939722
55,isafjordur,66.0755,-23.124,2.02,55,75,7.2,IS,1738939723
56,kalifornsky,60.4183,-151.29,-10.34,100,100,3.6,US,1738939724
57,ketchikan,55.3422,-131.6461,-4.08,82,0,0.89,US,1738939725
58,sao felix do xingu,-6.6447,-51.995,28.41,79,14,2.14,BR,1738939726
59,broken hill,-31.95,141.4333,27.47,45,37,3.22,AU,1738939727
60,invercargill,-46.4,168.35,13.34,94,23,1.82,NZ,1738939729
61,cadale,2.7603,46.3222,25.93,79,100,8.14,SO,1738939502
62,rongelap,11.1635,166.8941,26.42,75,39,7.53,MH,1738939731
63,yaren,-0.5472,166.916,26.97,75,36,7.2,NR,1738939732
64,klyuchi,52.2667,79.1667,-21.73,100,75,2.45,RU,1738939734
65,atafu village,-8.5421,-172.5159,28.11,76,99,7.69,TK,1738939735
66,ambovombe,-25.1667,46.0833,27.43,77,61,3.95,MG,1738939737
67,stanley,54.868,-1.6985,4.01,73,75,4.63,GB,1738939638
68,anori,-3.7728,-61.6442,28.59,73,86,1.8,BR,1738939739
69,belyy yar,53.6039,91.3903,-18.06,85,99,1.0,RU,1738939740
70,iqaluit,63.7506,-68.5145,-30.73,67,75,1.03,CA,1738939741
71,spring creek,40.7266,-115.5859,5.83,93,100,8.76,US,1738939742
72,vershino-darasunskiy,52.35,115.5167,-28.75,94,14,1.83,RU,1738939743
73,st. john's,47.5649,-52.7093,1.1,94,100,18.01,CA,1738939517
74,yantzaza,-3.8278,-78.7594,20.96,97,99,0.59,EC,1738939746
75,karratha,-20.7377,116.8463,31.52,69,93,11.16,AU,1738939748
76,codrington,-38.2667,141.9667,15.82,77,100,5.25,AU,1738939749
77,giddings,30.1827,-96.9364,20.92,83,100,2.06,US,1738939750
78,xilin hot,43.9667,116.0333,-24.33,84,8,2.38,CN,1738939751
79,hermanus,-34.4187,19.2345,25.34,61,0,4.55,ZA,1738939752
80,laojunmiao,39.8333,97.7333,-9.1,55,100,1.79,CN,1738939753
81,new norfolk,-42.7826,147.0587,13.84,97,100,0.96,AU,1738939755
82,udachny,66.4167,112.4,-26.76,100,98,2.46,RU,1738939756
83,las tablas,7.7667,-80.2833,26.76,99,36,7.72,PA,1738939757
